draft,top3_probability_percent,team1,team2,team3
2025 NBA Draft Lottery,0.013,Dallas Mavericks,San Antonio Spurs,Philadelphia 76ers
2024 NBA Draft Lottery,0.023,Atlanta Hawks,Washington Wizards,Houston Rockets
2023 NBA Draft Lottery,0.291,San Antonio Spurs,Charlotte Hornets,Portland Trail Blazers
2022 NBA Draft Lottery,0.388,Orlando Magic,Oklahoma City Thunder,Houston Rockets
2021 NBA Draft Lottery,0.364,Detroit Pistons,Houston Rockets,Cleveland Cavaliers
2020 NBA Draft Lottery,0.19,Minnesota Timberwolves,Golden State Warriors,Charlotte Hornets
2019 NBA Draft Lottery,0.061,New Orleans Pelicans,Memphis Grizzlies,New York Knicks
2018 NBA Draft Lottery,0.347,Phoenix Suns,Sacramento Kings,Atlanta Hawks
2017 NBA Draft Lottery,0.245,Philadelphia 76ers,Los Angeles Lakers,Boston Celtics
2016 NBA Draft Lottery,1.878,Philadelphia 76ers,Los Angeles Lakers,Boston Celtics
2015 NBA Draft Lottery,0.981,Minnesota Timberwolves,Los Angeles Lakers,Philadelphia 76ers
2014 NBA Draft Lottery,0.117,Cleveland Cavaliers,Milwaukee Bucks,Philadelphia 76ers
2013 NBA Draft Lottery,0.272,Cleveland Cavaliers,Orlando Magic,Washington Wizards
2012 NBA Draft Lottery,1.288,New Orleans Hornets,Charlotte Bobcats,Washington Wizards
2011 NBA Draft Lottery,0.075,Cleveland Cavaliers,Minnesota Timberwolves,Utah Jazz
2010 NBA Draft Lottery,0.18,Washington Wizards,Philadelphia 76ers,New Jersey Nets
2009 NBA Draft Lottery,0.257,Los Angeles Clippers,Memphis Grizzlies,Oklahoma City Thunder
2008 NBA Draft Lottery,0.081,Chicago Bulls,Miami Heat,Minnesota Timberwolves
2007 NBA Draft Lottery,0.068,Portland Trail Blazers,Seattle SuperSonics,Atlanta Hawks
2006 NBA Draft Lottery,0.372,Toronto Raptors,Chicago Bulls,Charlotte Bobcats
2005 NBA Draft Lottery,0.291,Milwaukee Bucks,Atlanta Hawks,Utah Jazz
2004 NBA Draft Lottery,1.085,Orlando Magic,Charlotte Bobcats,Chicago Bulls
2003 NBA Draft Lottery,0.588,Cleveland Cavaliers,Detroit Pistons,Denver Nuggets
2002 NBA Draft Lottery,0.721,Houston Rockets,Chicago Bulls,Golden State Warriors
2001 NBA Draft Lottery,0.059,Washington Wizards,Los Angeles Clippers,Atlanta Hawks
2000 NBA Draft Lottery,0.165,New Jersey Nets,Vancouver Grizzlies,Los Angeles Clippers
1999 NBA Draft Lottery,0.039,Chicago Bulls,Vancouver Grizzlies,Charlotte Hornets
1998 NBA Draft Lottery,0.655,Los Angeles Clippers,Vancouver Grizzlies,Denver Nuggets
1997 NBA Draft Lottery,0.44,San Antonio Spurs,Philadelphia 76ers,Boston Celtics
1996 NBA Draft Lottery,1.526,Philadelphia 76ers,Toronto Raptors,Vancouver Grizzlies
1995 NBA Draft Lottery,0.498,Golden State Warriors,Los Angeles Clippers,Philadelphia 76ers
1994 NBA Draft Lottery,1.36,Milwaukee Bucks,Dallas Mavericks,Detroit Pistons
1993 NBA Draft Lottery,0.014,Orlando Magic,Philadelphia 76ers,Golden State Warriors
1992 NBA Draft Lottery,0.229,Orlando Magic,Charlotte Hornets,Minnesota Timberwolves
1991 NBA Draft Lottery,0.254,Charlotte Hornets,New Jersey Nets,Sacramento Kings
1990 NBA Draft Lottery,0.114,New Jersey Nets,Seattle SuperSonics,Denver Nuggets
1989 NBA Draft Lottery,0.198,Sacramento Kings,Los Angeles Clippers,San Antonio Spurs
1988 NBA Draft Lottery,0.476,Los Angeles Clippers,Indiana Pacers,Philadelphia 76ers
1987 NBA Draft Lottery,0.476,San Antonio Spurs,Phoenix Suns,New Jersey Nets
1986 NBA Draft Lottery,0.476,Cleveland Cavaliers,Boston Celtics,Golden State Warriors
1985 NBA Draft Lottery,0.476,New York Knicks,Indiana Pacers,Los Angeles Clippers
