franchise,first_pick_count
Cleveland Cavaliers,5
Orlando Magic,4
San Antonio Spurs,3
Philadelphia 76ers,3
Los Angeles Clippers,3
Washington Wizards,2
New Orleans Pelicans,2
Brooklyn Nets,2
Chicago Bulls,2
Minnesota Timberwolves,2
Milwaukee Bucks,2
Dallas Mavericks,1
Charlotte Hornets,1
Toronto Raptors,1
Houston Rockets,1
Portland Trail Blazers,1
Atlanta Hawks,1
Detroit Pistons,1
Sacramento Kings,1
New York Knicks,1
Golden State Warriors,1
Phoenix Suns,1
Utah Jazz,0
Memphis Grizzlies,0
Oklahoma City Thunder,0
Indiana Pacers,0
Boston Celtics,0
Los Angeles Lakers,0
Miami Heat,0
Denver Nuggets,0
